años;fnlwgt(identificador);educacion;education-num;estado-civil;parentezco;raza;sexo;plusvalia;perdidad de capital;horas por semana;salario
47;51835;11;15;2;3;1;2;0;1902;60;40000
50;251585;1;13;1;2;1;1;0;0;55;40000
47;109832;2;9;1;2;1;1;0;0;60;50000
43;237993;6;10;2;1;1;1;0;0;40;40000
46;216666;12;3;2;1;1;1;0;0;40;50000
35;56352;8;11;2;1;1;1;0;0;40;50000
41;147372;2;9;2;1;1;1;0;0;48;50000
30;188146;2;9;2;1;1;1;5013;0;40;50000
30;59496;1;13;2;1;1;1;2407;0;40;50000
32;293936;9;4;3;2;1;1;0;0;40;50000
48;149640;2;9;2;1;1;1;0;0;40;50000
42;116632;10;16;2;1;1;1;0;0;45;40000
29;105598;6;10;1;2;1;1;0;0;58;50000
36;155537;2;9;2;1;1;1;0;0;40;50000
28;183175;6;10;1;2;1;2;0;0;40;50000
53;169846;2;9;2;3;1;2;0;0;40;40000
49;191681;6;10;2;1;1;1;0;0;50;40000
25;200681;6;10;4;4;1;1;0;0;40;50000
19;101509;6;10;4;4;1;1;0;0;32;50000
31;309974;1;13;5;4;2;2;0;0;40;50000
29;162298;1;13;2;1;1;1;0;0;70;40000
23;211678;6;10;4;2;1;1;0;0;40;50000
79;124744;6;10;2;6;1;1;0;0;20;50000
27;213921;2;9;4;4;1;1;0;0;40;50000
40;32214;7;12;2;1;1;1;0;0;40;50000
67;212759;13;6;2;1;1;1;0;0;2;50000
18;309634;3;7;4;4;1;2;0;0;22;50000
31;125927;9;4;2;1;1;1;0;0;40;50000
18;446839;2;9;4;2;1;1;0;0;30;50000
52;276515;1;13;2;1;1;1;0;0;40;50000
46;51618;2;9;2;3;1;2;0;0;40;50000
59;159937;2;9;2;1;1;1;0;0;48;50000
44;343591;2;9;1;2;1;2;14344;0;40;40000
53;346253;2;9;1;4;1;2;0;0;35;50000
49;268234;2;9;2;1;1;1;0;0;40;40000
33;202051;4;14;2;1;1;1;0;0;50;50000
30;54334;5;5;4;2;1;1;0;0;40;50000
43;410867;10;16;4;2;1;2;0;0;50;40000
57;249977;8;11;2;1;1;1;0;0;40;50000
37;286730;6;10;1;5;1;2;0;0;40;50000
28;212563;6;10;1;5;2;2;0;0;25;50000
30;117747;2;9;2;3;3;2;0;1573;35;50000
34;226296;1;13;2;1;1;1;0;0;40;40000
29;115585;6;10;4;2;1;1;0;0;50;50000
48;191277;10;16;2;1;1;1;0;1902;60;40000
37;202683;6;10;2;1;1;1;0;0;48;40000
48;171095;7;12;1;5;1;2;0;0;40;50000
32;249409;2;9;4;4;2;1;0;0;40;50000
76;124191;4;14;2;1;1;1;0;0;40;40000
44;198282;1;13;2;1;1;1;15024;0;60;40000
47;149116;4;14;4;2;1;2;0;0;50;50000
20;188300;6;10;4;4;1;2;0;0;40;50000
29;103432;2;9;4;2;1;1;0;0;40;50000
32;317660;2;9;2;1;1;1;7688;0;40;40000
17;304873;13;6;4;4;1;2;34095;0;32;50000
30;194901;3;7;4;4;1;1;0;0;40;50000
31;189265;2;9;4;2;1;2;0;0;40;50000
42;124692;2;9;2;1;1;1;0;0;40;50000
24;432376;1;13;4;6;1;1;0;0;40;50000
38;65324;11;15;2;1;1;1;0;0;40;40000
56;335605;2;9;2;1;1;1;0;1887;50;40000
28;377869;6;10;2;3;1;2;4064;0;25;50000
36;102864;2;9;4;4;1;2;0;0;40;50000
53;95647;5;5;2;1;1;1;0;0;50;50000
56;303090;6;10;2;1;1;1;0;0;50;50000
49;197371;8;11;2;1;2;1;0;0;40;40000
55;247552;6;10;2;1;1;1;0;0;56;50000
22;102632;2;9;4;2;1;1;0;0;41;50000
21;199915;6;10;4;4;1;2;0;0;40;50000
40;118853;1;13;2;1;1;1;0;0;60;50000
30;77143;1;13;4;4;2;1;0;0;40;50000
29;267989;1;13;2;1;1;1;0;0;50;40000
19;301606;6;10;4;4;2;1;0;0;35;50000
47;287828;1;13;2;3;1;2;0;0;40;40000
20;111697;6;10;4;4;1;2;0;1719;28;50000
31;114937;7;12;2;1;1;1;0;0;40;40000
35;129305;2;9;2;1;1;1;0;0;40;50000
39;365739;6;10;1;2;1;1;0;0;40;50000
28;69621;7;12;4;2;1;2;0;0;60;50000
24;43323;2;9;4;2;1;2;0;1762;40;50000
38;120985;2;9;2;1;1;1;4386;0;35;50000
37;254202;1;13;2;1;1;1;0;0;50;50000
46;146195;7;12;1;2;2;2;0;0;36;50000
38;125933;4;14;2;1;1;1;0;0;40;40000
43;56920;2;9;2;1;1;1;0;0;60;50000
27;163127;8;11;2;3;1;2;0;0;35;50000
20;34310;6;10;4;4;1;1;0;0;20;50000
49;81973;6;10;2;1;3;1;0;0;40;40000
61;66614;2;9;2;1;1;1;0;0;40;50000
27;232782;6;10;4;4;1;2;0;0;40;50000
19;316868;6;10;4;4;1;1;0;0;30;50000
45;196584;8;11;4;2;1;2;0;1564;40;40000
70;105376;6;10;4;6;1;1;0;0;40;50000
31;185814;2;9;4;5;2;2;0;0;30;50000
22;175374;6;10;2;1;1;1;0;0;24;50000
36;108293;2;9;6;5;1;2;0;0;24;50000
64;181232;3;7;2;1;1;1;0;2179;40;50000
43;174662;6;10;1;2;1;2;0;0;40;50000
47;186009;6;10;1;5;1;2;0;0;38;50000
34;198183;2;9;4;2;1;2;0;0;40;50000
33;163003;1;13;4;6;3;2;0;0;40;50000
21;296158;2;9;4;4;1;1;0;0;35;50000
52;252903;2;9;1;2;1;1;0;0;45;40000
48;187715;2;9;2;1;1;1;0;0;46;50000
23;214542;1;13;4;2;1;1;0;0;40;50000
71;494223;6;10;5;5;2;1;0;1816;2;50000
29;191535;2;9;1;2;1;1;0;0;60;50000
42;228456;1;13;5;6;2;1;0;0;50;50000
68;38317;14;2;1;2;1;2;0;0;20;50000
25;252752;2;9;4;5;1;2;0;0;40;50000
44;78374;4;14;1;5;3;2;0;0;40;50000
28;88419;2;9;4;2;3;2;0;0;40;50000
45;201080;4;14;2;1;1;1;0;0;40;40000
36;207157;6;10;1;5;1;2;0;0;40;50000
39;235485;7;12;4;2;1;1;0;0;42;50000
46;102628;4;14;6;5;1;1;0;0;40;50000
18;25828;3;7;4;4;1;1;0;0;16;50000
66;54826;8;11;6;2;1;2;0;0;20;50000
27;124953;2;9;4;2;1;1;0;1980;40;50000
28;175325;2;9;2;1;1;1;0;0;40;50000
51;96062;6;10;2;1;1;1;0;1977;40;40000
27;428030;1;13;4;2;1;1;0;0;50;50000
28;149624;1;13;2;1;1;1;0;0;40;40000
27;253814;2;9;3;5;1;2;0;0;25;50000
21;312956;2;9;4;4;2;1;0;0;40;50000
34;483777;2;9;4;2;2;1;0;0;40;50000
18;183930;2;9;4;4;1;1;0;0;12;50000
33;37274;1;13;2;1;1;1;0;0;65;50000
44;181344;6;10;2;1;2;1;0;0;38;40000
43;114580;6;10;1;2;1;2;0;0;40;50000
30;633742;6;10;4;2;2;1;0;0;45;50000
40;286370;9;4;2;1;1;1;0;0;40;40000
37;29054;6;10;2;1;1;1;0;0;42;40000
34;304030;2;9;2;1;2;1;0;0;40;50000
41;143129;1;13;1;2;1;2;0;0;40;50000
53;135105;1;13;1;2;1;2;0;0;50;50000
31;99928;4;14;2;3;1;2;0;0;50;50000
58;109567;10;16;2;1;1;1;0;0;1;40000
38;155222;6;10;1;2;2;2;0;0;28;50000
24;159567;6;10;2;1;1;1;0;0;40;50000
41;523910;1;13;2;1;2;1;0;0;40;50000
47;120939;6;10;2;1;1;1;0;0;45;50000
41;130760;1;13;2;1;1;1;0;0;24;50000
23;197387;12;3;2;6;1;1;0;0;40;50000
36;99374;6;10;1;2;1;1;0;0;40;50000
40;56795;4;14;4;2;1;2;14084;0;55;40000
35;138992;4;14;2;6;1;1;7298;0;40;40000
24;32921;2;9;4;2;1;1;0;0;40;50000
26;397317;4;14;4;2;1;2;0;1876;40;50000
19;170653;2;9;4;4;1;1;0;0;40;50000
51;259323;1;13;2;1;1;1;0;0;50;40000
42;254817;6;10;4;2;1;2;0;1340;40;50000
37;48211;2;9;1;5;1;2;0;0;35;50000
18;140164;3;7;4;4;1;2;0;0;40;50000
36;128757;1;13;2;1;2;1;7298;0;36;40000
35;36270;2;9;1;2;1;1;0;0;60;50000
58;210563;2;9;2;3;1;2;15024;0;35;40000
17;65368;3;7;4;4;1;2;0;0;12;50000
44;160943;2;9;2;1;2;1;0;0;40;50000
37;208358;2;9;2;1;1;1;0;0;40;40000
35;153790;6;10;4;2;4;2;0;0;40;50000
60;85815;2;9;2;1;3;1;0;0;40;50000
54;125417;9;4;2;1;1;1;0;0;40;40000
37;635913;1;13;4;2;2;1;0;0;60;40000
50;313321;7;12;1;2;1;2;0;0;40;50000
38;182609;1;13;2;1;1;1;0;0;50;50000
45;109434;1;13;2;1;1;1;0;0;55;50000
25;255004;13;6;4;2;1;1;0;0;40;50000
31;197860;6;10;2;1;1;1;0;0;40;50000
64;187656;14;2;1;2;1;1;0;0;40;50000
90;51744;2;9;4;2;2;1;0;2206;40;50000
54;176681;2;9;2;1;2;1;0;0;20;50000
53;140359;15;1;4;2;1;2;0;0;35;50000
18;243313;2;9;4;4;1;2;0;0;40;50000
60;24215;13;6;1;2;4;2;0;0;10;50000
66;167687;2;9;2;1;1;1;1409;0;50;50000
75;314209;8;11;6;2;1;2;0;0;20;50000
65;176796;2;9;1;2;1;2;0;0;40;50000
35;538583;3;7;5;2;2;1;3674;0;40;50000
41;130408;2;9;1;5;2;2;0;0;38;50000
25;159732;6;10;4;2;1;1;0;0;42;50000
33;110978;6;10;1;6;5;2;0;0;40;50000
28;76714;11;15;4;2;1;1;0;0;55;40000
59;268700;2;9;2;1;1;1;0;0;40;50000
40;170525;6;10;4;2;1;2;0;0;38;50000
41;180138;1;13;2;1;1;1;0;0;50;40000
38;115076;4;14;2;1;1;1;0;0;70;40000
23;115458;2;9;4;4;1;1;0;0;40;50000
40;347890;1;13;2;1;1;1;0;0;40;40000
41;196001;2;9;2;3;1;2;0;0;20;50000
24;273905;7;12;2;1;1;1;0;0;50;50000
20;119156;6;10;4;4;1;1;0;0;20;50000
38;179488;6;10;1;2;1;1;0;1741;40;50000
56;203580;2;9;2;1;1;1;0;0;35;50000
58;236596;2;9;2;1;1;1;0;0;45;40000
32;183916;2;9;4;2;1;2;0;0;34;50000
40;207578;7;12;2;1;1;1;0;1977;60;40000
45;153141;2;9;2;1;1;1;0;0;40;50000
41;112763;11;15;2;3;1;2;0;0;40;40000
42;390781;1;13;2;3;2;2;0;0;40;50000
59;171328;13;6;6;5;2;2;0;0;30;50000
19;27382;6;10;4;4;1;1;0;0;40;50000
58;259014;6;10;4;2;1;1;0;0;20;50000
42;303044;2;9;2;1;3;1;0;0;40;40000
20;117789;2;9;4;4;1;2;0;0;40;50000
32;172579;2;9;5;2;1;2;0;0;30;50000
45;187666;8;11;6;2;1;2;0;0;45;50000
50;204518;9;4;1;2;1;1;0;0;40;50000
36;150042;1;13;1;4;1;2;0;0;40;50000
45;98092;2;9;2;1;1;1;0;0;60;50000
17;245918;3;7;4;4;1;1;0;0;12;50000
59;146013;6;10;2;1;1;1;4064;0;40;50000
26;378322;3;7;2;1;1;1;0;0;40;50000
37;257295;6;10;2;1;3;1;0;0;75;40000
19;218956;6;10;4;4;1;1;0;0;24;50000
64;21174;2;9;2;1;1;1;0;0;40;40000
33;185480;1;13;4;2;1;2;0;0;45;50000
33;222205;2;9;2;3;1;2;0;0;40;40000
61;69867;2;9;2;1;1;1;0;0;40;40000
17;191260;5;5;4;4;1;1;1055;0;24;50000
50;30653;4;14;2;1;1;1;2407;0;98;50000
27;209109;4;14;4;4;1;1;0;0;35;50000
30;70377;2;9;1;4;1;2;0;0;40;50000
43;477983;2;9;2;1;2;1;0;0;40;50000
44;170924;6;10;2;1;1;1;7298;0;40;40000
35;190174;6;10;4;2;1;2;0;0;40;50000
25;193787;6;10;4;4;1;2;0;0;40;50000
24;279472;6;10;2;3;1;2;7298;0;48;40000
22;34918;1;13;4;2;1;2;0;0;15;50000
42;97688;6;10;2;1;1;1;5178;0;40;40000
34;175413;7;12;1;5;2;2;0;0;45;50000
60;173960;1;13;1;2;1;2;0;0;42;50000
21;205759;2;9;4;4;1;1;0;0;40;50000
57;425161;4;14;2;1;1;1;15024;0;40;40000
41;220531;11;15;2;1;1;1;0;0;60;40000
50;176609;6;10;1;2;1;1;0;0;45;50000
25;371987;1;13;4;2;1;2;0;0;40;50000
50;193884;9;4;2;1;1;1;0;0;40;50000
36;200352;1;13;2;1;1;1;0;0;45;50000
31;127595;2;9;1;2;1;2;0;0;40;50000
29;220419;1;13;4;2;1;1;0;0;56;50000
21;231931;6;10;4;4;1;1;0;0;45;50000
27;248402;1;13;4;5;2;2;0;0;40;50000
65;111095;2;9;2;1;1;1;0;0;16;50000
37;57424;1;13;1;2;1;2;0;0;60;50000
39;157443;4;14;2;3;3;2;3464;0;40;50000
24;278130;2;9;4;4;1;1;0;0;40;50000
38;169469;2;9;1;2;1;1;0;0;80;50000
48;146268;1;13;2;1;1;1;7688;0;40;40000
21;153718;6;10;4;2;3;2;0;0;25;50000
31;217460;2;9;2;1;1;1;0;0;45;40000
55;238638;2;9;2;1;1;1;4386;0;40;40000
24;303296;6;10;2;3;3;2;0;0;40;50000
43;173321;2;9;1;2;1;2;0;0;40;50000
26;193945;7;12;4;2;1;1;0;0;45;50000
46;83082;7;12;4;2;1;2;0;0;33;50000
35;193815;7;12;2;1;1;1;0;0;40;40000
41;34987;6;10;2;1;1;1;0;0;54;40000
26;59306;1;13;4;2;1;1;0;0;40;50000
34;142897;4;14;2;1;3;1;7298;0;35;40000
19;860348;6;10;4;4;2;2;0;0;25;50000
36;205607;1;13;1;2;2;2;0;0;40;40000
22;199698;6;10;4;4;1;1;0;0;15;50000
24;191954;6;10;4;2;1;1;0;0;40;50000
77;138714;6;10;2;1;1;1;0;0;40;50000
22;399087;12;3;2;6;1;2;0;0;40;50000
29;423158;6;10;4;2;1;2;0;0;40;50000
62;159841;2;9;6;2;1;2;0;0;24;50000
39;174308;2;9;2;1;1;1;0;0;40;50000
43;50356;6;10;2;1;1;1;0;1485;50;50000
35;186110;2;9;1;2;1;1;0;0;45;50000
29;200381;3;7;4;2;1;2;0;0;40;50000
76;174309;4;14;2;1;1;1;0;0;10;50000
63;78383;2;9;2;1;1;1;0;0;45;50000
23;211601;8;11;4;4;2;2;0;0;15;50000
43;187728;6;10;2;3;1;2;0;1887;50;40000
58;321171;2;9;2;1;1;1;0;0;40;50000
66;127921;2;9;4;2;1;1;2050;0;55;50000
41;206565;6;10;4;2;2;1;0;0;45;50000
26;224563;1;13;4;2;1;1;0;0;40;50000
47;178686;8;11;4;2;1;1;0;0;40;50000
55;98545;13;6;2;1;1;1;0;0;40;50000
53;242606;2;9;2;1;1;1;0;0;40;50000
17;270942;12;3;4;6;1;1;0;0;48;50000
30;94235;2;9;4;6;1;1;0;0;40;50000
49;71195;4;14;4;2;1;1;0;0;60;50000
19;104112;2;9;4;5;2;1;0;0;30;50000
45;261192;2;9;2;1;2;1;0;0;40;50000
26;94936;7;12;4;2;1;1;0;0;40;50000
38;296478;8;11;2;1;1;1;7298;0;40;40000
36;119272;2;9;2;1;1;1;7298;0;40;40000
33;85043;2;9;4;2;1;1;0;0;20;50000
22;293364;6;10;4;4;2;2;0;0;40;50000
43;241895;1;13;4;2;1;1;0;0;42;50000
67;36135;3;7;2;1;1;1;0;0;8;50000
30;151989;8;11;1;5;1;2;0;0;40;50000
56;101128;7;12;3;2;1;1;0;0;25;50000
31;156464;1;13;4;4;1;1;0;0;25;50000
33;117963;1;13;2;1;1;1;0;0;40;40000
26;192262;2;9;2;1;1;1;0;0;40;50000
33;111363;1;13;2;1;1;1;0;0;40;40000
46;329752;3;7;2;1;1;1;0;0;30;50000
59;372020;1;13;2;1;1;1;0;0;40;40000
38;95432;2;9;2;1;1;1;0;0;40;40000
65;161400;3;7;6;5;5;1;0;0;40;50000
40;96129;8;11;2;1;1;1;0;0;40;40000
42;111949;2;9;2;3;1;2;0;0;35;50000
26;117125;5;5;2;1;1;1;0;0;40;50000
36;348022;13;6;2;3;1;2;0;0;24;50000
62;270092;4;14;2;1;1;1;0;0;40;40000
43;180609;1;13;2;1;1;1;0;0;45;50000
43;174575;1;13;1;2;1;1;0;1564;45;40000
22;410439;2;9;3;2;1;1;0;0;55;50000
28;92262;2;9;2;1;1;1;0;0;40;50000
56;183081;6;10;2;1;1;1;0;0;45;50000
22;362589;7;12;4;2;1;2;0;0;15;50000
57;212448;1;13;1;2;1;2;0;0;45;40000
39;481060;2;9;1;5;1;2;0;0;40;50000
26;185885;6;10;4;5;1;2;0;0;15;50000
17;89821;3;7;4;4;1;1;0;0;10;50000
40;184018;8;11;2;1;1;1;0;0;38;40000
45;256649;2;9;2;1;2;1;0;0;40;50000
44;160323;2;9;4;2;2;1;0;0;40;50000
20;350845;6;10;4;4;1;2;0;0;10;50000
33;267404;2;9;2;3;1;2;0;0;40;50000
23;35633;6;10;4;2;1;1;0;0;40;50000
46;80914;4;14;1;2;1;1;0;0;30;50000
38;172927;2;9;2;1;1;1;0;0;50;50000
54;174319;2;9;1;2;1;1;0;0;40;50000
46;214955;12;3;1;2;1;2;0;2339;45;50000
25;344991;6;10;2;1;1;1;0;0;40;50000
46;108699;6;10;1;2;1;2;0;0;40;50000
36;117312;6;10;2;3;1;2;0;0;40;50000
23;396099;2;9;4;2;1;2;0;0;25;50000
29;134152;2;9;5;2;1;1;0;0;40;50000
44;162028;6;10;2;3;1;2;0;2415;6;40000
19;25429;6;10;4;4;1;2;0;0;16;50000
19;232392;2;9;4;6;1;2;0;0;40;50000
35;220098;2;9;2;3;1;2;0;0;40;40000
27;301302;1;13;4;2;1;1;0;0;50;50000
46;277946;7;12;5;2;1;1;0;0;40;50000
34;98101;1;13;2;1;1;1;7688;0;45;40000
34;196164;2;9;4;2;1;2;0;0;35;50000
44;115562;6;10;2;1;1;1;0;0;40;50000
45;96975;6;10;1;5;1;2;0;0;40;50000
20;137300;2;9;4;6;1;2;0;0;35;50000
25;86872;1;13;2;1;1;1;0;0;55;40000
52;132178;1;13;2;1;1;1;0;0;50;40000
20;416103;6;10;4;4;1;1;0;0;40;50000
28;108574;6;10;4;2;1;2;0;0;40;50000
50;288353;1;13;2;1;1;1;0;0;40;40000
34;227689;8;11;1;2;1;2;0;0;64;50000
28;166481;9;4;2;1;5;1;0;2179;40;50000
41;445382;4;14;2;1;1;1;0;1977;65;40000
28;110145;2;9;2;1;1;1;0;0;40;50000
46;317253;2;9;2;1;1;1;0;0;25;50000
28;123147;6;10;2;3;1;2;0;1887;40;40000
32;364657;6;10;2;1;1;1;0;0;50;50000
41;42346;6;10;1;2;2;2;0;0;24;50000
24;241951;2;9;4;5;2;2;0;0;40;50000
33;118500;6;10;1;5;1;2;0;0;40;50000
46;188386;10;16;2;1;1;1;15024;0;60;40000
31;1033222;6;10;2;1;1;1;0;0;40;50000
35;92440;16;8;1;2;1;1;0;0;50;40000
52;190762;14;2;2;1;1;1;0;0;40;50000
30;426017;3;7;4;4;1;2;0;0;19;50000
34;243867;3;7;5;2;2;1;0;0;40;50000
34;240283;2;9;1;5;1;2;0;0;40;50000
20;61777;6;10;2;1;1;1;0;0;30;50000
17;175024;3;7;4;4;1;1;2176;0;18;50000
32;92003;1;13;2;3;1;2;0;0;40;40000
29;188401;2;9;1;2;1;1;0;0;40;50000
33;228528;13;6;4;5;1;2;0;0;35;50000
25;133373;2;9;2;1;1;1;0;0;60;50000
36;255191;4;14;4;2;1;1;0;1408;40;50000
23;204653;2;9;4;2;1;1;0;0;72;50000
63;222289;2;9;2;1;1;1;0;0;40;40000
47;287480;4;14;2;1;1;1;0;0;40;50000
80;107762;2;9;6;2;1;1;0;0;24;50000
17;202521;3;7;4;4;1;1;0;0;40;50000
40;204116;1;13;3;2;1;2;2174;0;40;50000
30;29662;7;12;2;3;1;2;0;0;25;40000
27;116358;6;10;4;4;3;1;0;1980;40;50000
33;208405;4;14;2;1;1;1;0;0;50;40000
34;284843;2;9;4;2;2;1;594;0;60;50000
34;117018;6;10;4;2;1;2;0;0;40;50000
23;81281;6;10;2;1;1;1;0;0;40;50000
42;340148;6;10;2;3;1;2;0;0;40;50000
29;363425;1;13;4;2;1;1;0;0;40;50000
45;45857;2;9;1;2;1;2;0;0;28;50000
24;191073;2;9;4;4;1;1;0;0;40;50000
44;116632;6;10;2;1;1;1;0;0;40;40000
27;405855;5;5;4;6;1;1;0;0;40;50000
20;298227;6;10;4;2;1;1;0;0;35;50000
44;290521;2;9;6;5;2;2;0;0;40;50000
51;56915;2;9;2;1;4;1;0;0;40;50000
20;146538;2;9;2;1;1;1;0;0;40;50000
17;258872;3;7;4;4;1;2;0;0;5;50000
19;206399;2;9;4;4;2;2;0;0;40;50000
45;197332;6;10;2;1;1;1;0;0;55;40000
60;245062;2;9;2;1;1;1;0;0;40;40000
42;197583;7;12;2;1;2;1;0;0;40;40000
44;234885;2;9;2;3;1;2;0;0;40;40000
40;72887;8;11;2;1;3;1;0;0;40;40000
30;180374;2;9;2;3;1;2;0;0;40;50000
38;351299;6;10;2;1;2;1;0;0;50;50000
23;54012;2;9;2;1;1;1;0;0;60;50000
32;115745;6;10;2;1;1;1;0;0;40;50000
44;116632;7;12;4;4;1;1;0;0;40;50000
54;288825;2;9;2;1;2;1;0;0;40;50000
32;132601;1;13;2;1;1;1;0;0;50;50000
50;193374;14;2;3;5;1;1;0;0;40;50000
24;170070;1;13;4;2;1;2;0;0;20;50000
37;126708;2;9;2;3;1;2;0;0;60;50000
52;35598;2;9;1;5;1;1;0;0;40;50000
38;33983;6;10;2;1;1;1;0;0;40;50000
49;192776;4;14;2;1;1;1;0;1977;45;40000
30;118551;1;13;2;3;1;2;0;0;16;40000
60;201965;6;10;4;5;1;1;0;0;40;40000
22;139883;6;10;4;4;1;1;0;0;40;50000
35;285020;2;9;4;2;1;1;0;0;40;50000
30;303990;2;9;4;2;1;1;0;0;60;50000
67;49401;8;11;1;2;1;2;0;0;24;50000
46;279196;1;13;4;2;1;2;0;0;40;50000
17;211870;5;5;4;2;1;1;0;0;6;50000
22;281432;6;10;4;4;1;1;0;0;30;50000
27;161155;13;6;4;2;1;1;0;0;40;50000
23;197904;2;9;4;5;1;2;0;0;35;50000
33;111746;7;12;2;1;1;1;0;0;45;50000
43;170721;6;10;2;1;1;1;0;0;20;50000
28;70100;1;13;4;2;1;1;0;0;20;50000
41;193626;2;9;3;5;1;2;0;0;40;50000
52;271749;16;8;4;6;2;1;594;0;40;50000
25;189775;6;10;3;4;2;2;0;0;20;50000
63;401531;14;2;2;1;1;1;0;0;35;50000
59;286967;2;9;2;1;1;1;0;0;45;50000
45;164427;1;13;1;5;1;2;0;0;40;50000
38;91039;1;13;2;1;1;1;15024;0;60;40000
40;347934;2;9;4;2;1;2;0;0;35;50000
46;371373;2;9;1;2;1;1;0;0;40;50000
35;32220;7;12;4;2;1;2;0;0;60;50000
34;187251;2;9;1;5;1;2;0;0;25;50000
33;178107;1;13;4;4;1;1;0;0;20;50000
41;343121;2;9;1;5;1;2;0;0;36;50000
20;262749;6;10;4;4;1;1;0;0;40;50000
23;403107;12;3;4;4;1;1;0;0;40;50000
26;64293;6;10;4;2;1;2;0;0;35;50000
72;303588;2;9;2;1;1;1;0;0;20;50000
23;324960;2;9;4;2;1;1;0;0;40;50000
62;114060;2;9;2;1;1;1;0;0;40;50000
52;48925;6;10;2;1;1;1;0;0;40;50000
58;180980;6;10;1;5;1;2;0;0;42;50000
25;181054;1;13;4;2;1;2;0;0;40;50000
24;388093;1;13;4;2;2;1;0;0;40;50000
19;249609;6;10;4;4;1;1;0;0;8;50000
43;112131;6;10;2;1;1;1;0;0;40;50000
47;543162;2;9;5;5;2;2;0;0;40;50000
39;91996;2;9;1;5;1;2;0;0;40;50000
49;141944;8;11;3;5;1;1;0;1380;42;50000
53;251804;12;3;6;5;2;2;0;0;30;50000
32;37070;8;11;4;2;1;1;0;0;45;50000
34;337587;6;10;2;1;1;1;0;0;50;40000
28;189346;2;9;1;2;1;1;0;0;45;50000
57;222216;8;11;6;5;1;2;0;0;38;50000
25;267044;6;10;4;2;4;2;0;0;20;50000
20;214635;6;10;4;4;1;1;0;0;24;50000
21;204226;6;10;4;5;1;2;0;0;35;50000
34;108116;1;13;2;1;1;1;0;0;50;40000
38;99146;1;13;2;1;1;1;15024;0;80;40000
50;196232;2;9;2;1;1;1;7688;0;50;40000
24;248344;6;10;1;2;2;1;0;0;50;50000
37;186035;6;10;2;1;1;1;0;0;45;40000
44;177905;6;10;1;5;1;1;0;0;58;40000
28;85812;6;10;2;3;1;2;0;0;40;50000
42;221172;1;13;2;1;1;1;0;0;40;40000
74;99183;6;10;1;2;1;2;0;0;9;50000
38;190387;2;9;2;1;1;1;0;0;50;50000
44;202692;4;14;2;1;1;1;0;0;40;50000
44;109339;3;7;1;5;5;2;0;0;46;50000
